,MoviesN,AvgPop,AvgIMDB,Score
David Carradine,5,0.036806772652876255,0.691358024691358,0.435988078930031
Jennifer Garner,7,0.03523365597777431,0.619047619047619,0.4359192898295147
Tobin Bell,6,0.04185636651673096,0.6358024691358024,0.43591567484399923
Matthew Lillard,7,0.02697617712991633,0.6225749559082892,0.43591132780715286
Glenn Morshower,12,0.036640520977604216,0.6069958847736625,0.43583548926250104
Sergey Garmash,8,0.010831648415332996,0.6219135802469136,0.43565358989874037
Ray Romano,5,0.05224912575953075,0.6839506172839506,0.4355014568181788
Bette Midler,13,0.02691877782339218,0.6106362773029439,0.4355012557326567
Michael Parks,5,0.04615657148863986,0.6864197530864197,0.4354139309383739
David Caruso,6,0.025621105674895547,0.6419753086419753,0.4353921490597809
Nina Arianda,5,0.028386514947679672,0.6938271604938271,0.4352854827352254
Larry Miller,9,0.023700971383404996,0.6131687242798353,0.435249522709098
Walton Goggins,7,0.03705089354418571,0.6172839506172839,0.4352422928307615
